Case,actual_result,LLM_prediction,Modified_text_prediction
1955_R_9.txt,1,1,1
1956_B_14.txt,0,1,1
1961_S_90.txt,1,0,0
1962_S_93.txt,1,1,0
1963_M_27.txt,1,1,0
1964_R_24.txt,0,0,1
1964_R_32.txt,0,0,0
1964_S_170.txt,0,1,1
1964_V_10.txt,1,1,0
1965_B_38.txt,1,1,1
1965_F_1.txt,0,0,1
1965_R_36.txt,0,1,0
1965_S_8.txt,1,0,1
1966_S_126.txt,1,1,1
1967_K_7.txt,0,0,0
1967_N_6.txt,0,0,1
1971_L_9.txt,0,0,0
1973_J_15.txt,0,0,0
1973_J_2.txt,0,0,0
1975_N_4.txt,1,1,0
1975_N_9.txt,0,0,0
1977_S_24.txt,1,1,1
1978_G_1.txt,0,0,0
1978_V_5.txt,0,0,0
1979_S_324.txt,1,1,0
1980_K_5.txt,1,0,0
1981_H_2.txt,0,0,0
1981_N_14.txt,1,1,0
1982_H_13.txt,1,1,0
1982_L_2.txt,0,0,1
1982_U_8.txt,0,0,1
1983_S_123.txt,0,0,0
1983_S_87.txt,0,0,0
1984_S_137.txt,1,0,1
1985_K_7.txt,0,1,0
1985_L_10.txt,0,1,0
1985_S_203.txt,1,1,0
1985_S_32.txt,0,0,0
1985_U_19.txt,0,1,1
1985_U_20.txt,0,0,1
1987_A_73.txt,0,0,0
1987_K_60.txt,0,0,1
1987_M_33.txt,1,1,0
1988_S_265.txt,0,1,0
1988_S_92.txt,1,1,1
1989_D_26.txt,1,1,1
1990_S_246.txt,0,0,0
1991_T_18.txt,0,0,0
1991_Y_2.txt,0,0,0
1992_F_8.txt,1,1,1
1992_U_81.txt,0,1,0
1993_J_32.txt,0,1,1
1993_O_17.txt,1,0,0
1993_S_275.txt,0,1,1
1993_S_288.txt,0,0,0
1993_U_114.txt,0,1,0
1993_V_1.txt,0,0,0
1994_A_117.txt,1,1,1
1994_J_42.txt,0,0,0
1994_U_130.txt,1,1,0
1995_M_153.txt,0,0,0
1995_P_19.txt,1,1,1
1995_S_207.txt,1,0,0
1996_C_96.txt,1,1,1
1996_M_127.txt,1,1,1
1996_M_162.txt,1,1,1
1996_S_1166.txt,0,0,0
1996_S_642.txt,1,0,1
1996_T_58.txt,1,1,0
1996_U_195.txt,0,1,1
1996_U_227.txt,1,0,0
1996_U_253.txt,1,1,0
1997_M_213.txt,1,1,1
1997_P_4.txt,1,0,0
1997_S_332.txt,1,1,1
1997_U_33.txt,0,1,1
1998_S_496.txt,1,0,1
1999_B_106.txt,0,0,1
1999_N_16.txt,0,0,1
1999_U_149.txt,1,1,1
2000_F_15.txt,0,1,1
2000_N_28.txt,0,0,0
2000_R_154.txt,0,0,0
2000_R_24.txt,1,1,1
2000_S_511.txt,0,0,1
2001_A_80.txt,1,1,1
2001_B_23.txt,0,1,1
2001_H_22.txt,1,1,0
2001_S_551.txt,0,1,0
2001_U_317.txt,0,0,0
2002_N_68.txt,0,0,0
2002_P_42.txt,0,1,1
2003_J_81.txt,0,1,1
2003_S_269.txt,0,0,0
2003_Y_6.txt,1,0,1
2004_R_137.txt,0,0,0
2004_S_763.txt,0,0,0
2005_J_18.txt,0,0,0
2005_M_301.txt,0,0,0
2005_S_396.txt,0,0,1
2005_S_817.txt,0,0,1
2006_C_230.txt,0,0,0
2006_P_32.txt,1,1,1
2006_S_740.txt,0,0,0
2006_U_23.txt,0,1,1
2007_H_65.txt,1,1,1
2007_M_26.txt,0,0,0
2007_P_100.txt,1,0,0
2007_S_197.txt,0,0,0
2007_S_449.txt,1,1,1
2008_M_196.txt,0,0,0
2008_S_1340.txt,0,0,0
2008_S_1360.txt,0,1,1
2008_U_49.txt,0,1,0
2009_D_164.txt,0,0,1
2009_S_144.txt,0,1,1
2010_A_10.txt,0,1,1
2010_D_31.txt,1,1,1
2010_K_30.txt,1,0,0
2010_N_34.txt,1,1,1
2010_S_313.txt,0,1,1
2010_V_45.txt,0,1,0
2011_A_39.txt,0,0,0
2011_A_45.txt,1,1,1
2011_D_44.txt,1,1,1
2011_D_48.txt,1,1,1
2011_M_75.txt,0,1,1
2011_S_413.txt,1,0,1
2012_N_28.txt,1,1,1
2012_P_6.txt,1,1,0
2012_S_138.txt,1,1,0
2012_S_184.txt,1,1,1
2012_S_46.txt,1,1,1
2012_S_79.txt,1,1,1
2012_U_2.txt,0,1,1
2013_D_1.txt,0,0,0
2013_D_54.txt,0,0,0
2013_G_51.txt,0,1,1
2013_G_74.txt,1,1,1
2013_K_6.txt,1,0,1
2013_R_12.txt,0,1,1
2013_S_337.txt,0,0,1
2013_S_377.txt,0,0,0
2013_S_394.txt,0,0,0
2013_U_22.txt,1,1,0
2013_V_7.txt,0,0,1
2014_C_31.txt,1,1,0
2014_C_41.txt,1,1,0
2014_D_62.txt,0,0,1
2014_M_75.txt,0,0,0
2014_S_354.txt,1,0,0
2014_U_57.txt,1,1,0
2015_D_48.txt,0,0,1
2015_K_54.txt,1,1,0
2015_S_103.txt,1,0,0
2015_S_548.txt,0,0,0
2015_V_20.txt,1,1,0
2016_K_82.txt,0,1,1
2016_S_149.txt,0,0,1
2016_S_212.txt,1,0,1
2016_S_51.txt,0,0,0
2016_V_69.txt,0,0,1
2017_A_56.txt,1,1,0
2017_E_23.txt,0,0,0
2017_J_48.txt,1,1,0
2017_K_69.txt,1,0,0
2017_M_2.txt,0,0,1
2017_P_117.txt,1,1,1
2017_S_145.txt,1,1,0
2017_S_348.txt,1,1,1
2017_S_666.txt,1,1,1
2017_U_4.txt,1,1,0
2017_U_43.txt,1,1,1
2017_V_46.txt,1,1,1
2017_V_69.txt,0,0,1
2017_Z_1.txt,1,1,0
2018_N_10.txt,0,1,1
2018_U_25.txt,0,0,0
2019_1029_INSC.txt,1,0,0
2019_1156_INSC.txt,0,0,0
2019_1286_INSC.txt,0,0,0
2019_46_INSC.txt,1,1,0
2019_563_INSC.txt,0,1,0
2019_619_INSC.txt,0,1,0
2019_734_INSC.txt,1,1,0
2019_856_INSC.txt,0,1,1
2019_903_INSC.txt,0,1,1
2019_987_INSC.txt,0,0,0
2020_187_INSC.txt,1,1,1
2020_200_INSC.txt,0,0,0
2020_288_INSC.txt,0,0,1
2020_289_INSC.txt,1,0,0
2020_418_INSC.txt,0,1,1
2020_419_INSC.txt,0,0,0
2020_525_INSC.txt,0,0,1
2020_52_INSC.txt,0,0,0
2020_580_INSC.txt,0,1,1
2020_595_INSC.txt,1,0,0
2020_611_INSC.txt,0,1,0
2020_651_INSC.txt,1,0,0
2020_680_INSC.txt,0,0,1
2021_160_INSC.txt,0,0,1
2021_164_INSC.txt,0,0,0
2021_253_INSC.txt,0,1,1
2021_254_INSC.txt,1,1,0
2021_271_INSC.txt,1,1,1
2021_290_INSC.txt,1,1,1
2021_3_INSC.txt,1,1,0
2021_628_INSC.txt,0,0,1
2022_131_INSC.txt,0,0,1
2022_193_INSC.txt,1,1,0
2022_218_INSC.txt,0,1,1
2022_281_INSC.txt,0,1,1
2022_38_INSC.txt,1,1,0
2022_449_INSC.txt,0,1,1
2022_536_INSC.txt,1,1,1
2022_612_INSC.txt,0,0,1
2022_715_INSC.txt,1,0,0
2022_802_INSC.txt,0,0,0
2022_950_INSC.txt,1,0,0
2022_963_INSC.txt,0,1,1
2023_314_INSC.txt,0,0,0
2023_51_INSC.txt,1,1,1
2023_798_INSC.txt,1,1,1
2023_904_INSC.txt,1,1,1
2023_906_INSC.txt,0,0,1
2023_955_INSC.txt,1,0,0
2023_965_INSC.txt,0,0,1
2024_226_INSC.txt,0,1,1
2024_332_INSC.txt,0,0,0
2024_352_INSC.txt,0,1,0
2024_486_INSC.txt,0,0,0
2024_504_INSC.txt,0,0,1
2024_524_INSC.txt,0,0,0
2024_541_INSC.txt,0,0,1
2024_585_INSC.txt,0,1,1
2024_589_INSC.txt,1,1,0
